Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,,,,,,,title,,
1967,,,,,,,,,First known network breach,"The first known incidence of network penetration hacking took place when members of a computer club at a suburban Chicago area high school were provided access to IBM's APL network. In the Fall of 1967, IBM (through Science Research Associates) approached Evanston Township High School with the offer of four 2741 Selectric teletypewriter based terminals with dial-up modem connectivity to an experimental computer system which implemented an early version of the APL programming language. The APL network system was structured in Workspaces which were assigned to various clients using the system. Working independently, the students quickly learned the language and the system. They were free to explore the system, often using existing code available in public Workspaces as models for their own creations. Eventually, curiosity drove the students to explore the system's wider context. This first informal network penetration effort was later acknowledged as helping harden the security of one of the first publicly accessible networks:",https://i0.wp.com/evanstonroundtable.com/wp-content/uploads/2021/04/ETHS-front-of-bldg.-WEB-1.jpg?fit=1200%2C798&ssl=1,,,https://i0.wp.com/evanstonroundtable.com/wp-content/uploads/2021/04/ETHS-front-of-bldg.-WEB-1.jpg?fit=1200%2C798&ssl=1,,hack,#333333
1971,10,,,,,,,,Captain Crunch in Esquire,"John T. Draper (later nicknamed Captain Crunch), his friend Joe Engressia (also known as Joybubbles), and blue box phone phreaking hit the news with an Esquire magazine feature story. It should also be noted that John Draper has been accused of sexual impropriety by multiple people.",,,,,,culture,
1979,,,,,,,,,Mitnick Accesses DEC,"Kevin Mitnick breaks into his first major computer system, the Ark, the computer system Digital Equipment Corporation (DEC) used for developing their RSTS/E operating system software",,,,,,hack,#333333
1980,,,,,,,,,NCSS Hack,"The FBI investigates a breach of security at National CSS (NCSS). The New York Times, reporting on the incident in 1981, describes hackers as",,,,,,hack/government,
1981,9,12,,,,,,,Chaos Computer Club formed,,https://upload.wikimedia.org/wikipedia/en/0/06/Chaos_Computer_Club_%28logo%29.svg,,,https://upload.wikimedia.org/wikipedia/en/0/06/Chaos_Computer_Club_%28logo%29.svg,,culture,
1983,,,,,,,,,414 breach of LANL and Sloan-Kettering,"The 414s break into 60 computer systems at institutions ranging from the Los Alamos National Laboratory to Manhattan's Memorial Sloan-Kettering Cancer Center.[18] The incident appeared as the cover story of Newsweek with the title ""Beware: Hackers at play"".[19] As a result, the U.S. House of Representatives held hearings on computer security and passed several laws.",https://images.ctfassets.net/cnu0m8re1exe/6oubBOCbHa4UE3fOPQ922Q/ae06f1000d436944501cf69b7dbb42d6/The414s_NealPatrick_Cr-PatrickFamily.jpg?fm=jpg&fl=progressive&w=660&h=433&fit=fill,,Neil Patrick of the 414s,https://images.ctfassets.net/cnu0m8re1exe/6oubBOCbHa4UE3fOPQ922Q/ae06f1000d436944501cf69b7dbb42d6/The414s_NealPatrick_Cr-PatrickFamily.jpg?fm=jpg&fl=progressive&w=660&h=433&fit=fill,,hack/government,#333333
1983,5,1,,,,,,,Gerald Wondra (414s) sentenced,"Gerald Wondra of the 414s is sentenced for Unauthorized access to computers at the Sloan-Kettering Cancer Center in New York and a Los Angeles bank[73] and two counts of ""making harassing telephone calls""[74]",,,,,,law,
1983,,,,1990,,,,,KILOBAUD founded,https://en.wikipedia.org/wiki/P.H.I.R.M.,,,,,,crew,#333333
1986,,,,,,,,,CFAA passes,"The Computer Fraud and Abuse Act passes congress, consolidating and codifying a legal framework for legal action against electronic crimes",,,,,,law,
1983,6,3,,,,,,,Wargames movie released,"The movie Wargames starring Matthew Broderick is released, giving much of the US public its first glimpse at a hacker narrative, and raising eyebrows of US government leadership about the potential risks posed by hobbyist groups.",https://media1.sacurrent.com/sacurrent/imager/u/blog/24400162/screen_shot_2020-09-04_at_11.01.05_am.png?cb=1642780559,,,https://lh3.googleusercontent.com/tTR7oOHFRtaUpOGJt0mLNQBpmXpeYWYhXm0sh8DCR3WVM6VH6C63pFR-HRmC0H9R26GhpP48yWztRQ,,culture,#333333
1983,,,,,,,,,House of representatives hearings on computer hacking,The U.S. House of Representatives begins hearings on computer security hacking,,,,,,government,
1983,,,,,,,,,Trojan Horse described for the first time,"In his Turing Award lecture, Ken Thompson mentions ""hacking"" and describes a security exploit that he calls a ""Trojan horse""",,,,,,publication,#333333
1983,,,,,,,,,Legion Of Doom founded,"Someone calling himself Lex Luthor founds the Legion of Doom. Named after a Saturday morning cartoon, the LOD had the reputation of attracting ""the best of the best""—until one of the most talented members called Phiber Optik feuded with Legion of Doomer Erik Bloodaxe and got 'tossed out of the clubhouse'. Phiber's friends formed a rival group, the Masters of Deception.",,,,,,crew,
1984,,,,,,,,,CDC is formed,"The Cult of the Dead Cow is formed in Lubbock, Texas","https://res.cloudinary.com/practicaldev/image/fetch/s--Mq492tOB--/c_imagga_scale,f_auto,fl_progressive,h_420,q_auto,w_1000/https://orig00.deviantart.net/7620/f/2007/294/0/7/legion_of_doom_ansi_by_roy_sac.png",,,,,crew,#333333
1992,,,,2000,,,,,L0pht formed,,https://upload.wikimedia.org/wikipedia/en/6/68/Lopht_Logo.jpg,,,,,crew,
